domain_name,domain_accession,query_name,query_accession,sequence_evalue,sequence_score,sequence_bias,best_domain_evalue,best_domain_score,best_domain_bis,domain_number_exp,domain_number_reg,domain_number_clu,domain_number_ov,domain_number_env,domain_number_dom,domain_number_rep,domain_number_inc,genome_id
3300027382.a:Ga0209783_1000401_8,NA,dsrA,TIGR02064.1,2.7e-193,654.9,0,3e-193,654.7,0,1,1,0,0,1,1,1,1,3300027382_5
3300008103.a:Ga0114180_102799_8,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300008103_34
3300014521.a:Ga0169725_100309_13,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300014521_3
3300014788.a:Ga0134381_1000456_21,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300014788_8
3300028969.a:Ga0169711_100847_8,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300028969_8
3300029137.a:Ga0168731_100637_13,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029137_4
3300029329.a:Ga0242807_102262_13,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029329_20
3300029362.a:Ga0243852_1000299_34,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029362_8
3300029434.a:Ga0243855_1004199_3,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029434_25
3300029460.a:Ga0244138_102499_5,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029460_6
3300029470.a:Ga0244172_101133_7,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029470_18
3300029471.a:Ga0244196_100714_17,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029471_6
3300029490.a:Ga0244171_101190_15,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029490_11
3300029501.a:Ga0244796_100837_11,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029501_12
3300029507.a:Ga0244816_100737_15,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029507_8
3300029508.a:Ga0244830_100378_16,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029508_7
3300029514.a:Ga0244787_103107_4,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029514_18
3300029521.a:Ga0244833_105273_4,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029521_10
3300029524.a:Ga0244794_100744_17,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029524_9
3300029577.a:Ga0244883_101447_17,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029577_12
3300029584.a:Ga0245112_100937_22,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029584_10
3300029619.a:Ga0245131_1002109_10,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029619_23
3300029643.a:Ga0245225_100217_13,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029643_5
3300029656.a:Ga0245165_100941_12,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029656_9
3300029719.a:Ga0245179_1004842_3,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029719_36
3300029794.a:Ga0243854_1001196_12,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029794_14
3300029815.a:Ga0244882_1010645_4,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029815_32
3300029886.a:Ga0245330_101041_5,NA,dsrA,TIGR02064.1,3.4e-193,654.5,0,3.9e-193,654.3,0,1,1,0,0,1,1,1,1,3300029886_11
3300005062.a:Ga0070768_1054935_30,NA,dsrA,TIGR02064.1,3.9e-193,654.3,0,4.4e-193,654.2,0,1,1,0,0,1,1,1,1,3300005062_4
3300012887.a:Ga0126335_1002965_7,NA,dsrA,TIGR02064.1,4.1e-193,654.3,0.1,4.7e-193,654.1,0.1,1,1,0,0,1,1,1,1,3300012887_8
3300008212.a:Ga0056121_1000322_6,NA,dsrA,TIGR02064.1,4.3e-193,654.2,0,4.9e-193,654,0,1,1,0,0,1,1,1,1,3300008212_3
3300004632.a:Ga0049107_10003838_8,NA,dsrA,TIGR02064.1,5.2e-193,653.9,0.1,6e-193,653.7,0.1,1,1,0,0,1,1,1,1,3300004632_6
3300008214.a:Ga0056111_1000193_9,NA,dsrA,TIGR02064.1,1e-192,653,0.1,1.2e-192,652.8,0.1,1,1,0,0,1,1,1,1,3300008214_3
3300003139.a:Ga0052240_1000286_5,NA,dsrA,TIGR02064.1,1.5e-192,652.4,0,1.7e-192,652.3,0,1,1,0,0,1,1,1,1,3300003139_1
3300017400.a:Ga0185311_1001862_2,NA,dsrA,TIGR02064.1,1.9e-192,652.1,1.2,2.3e-192,651.8,1.2,1,1,0,0,1,1,1,1,3300017400_28
3300025630.a:Ga0208004_1000408_1,NA,dsrA,TIGR02064.1,2.1e-192,651.9,0.5,2.3e-192,651.8,0.5,1,1,0,0,1,1,1,1,3300025630_12
3300005275.a:Ga0065719_100610_1,NA,dsrA,TIGR02064.1,4.7e-192,650.8,1.6,5.6e-192,650.5,1.6,1,1,0,0,1,1,1,1,3300005275_4
3300025546.a:Ga0209225_1004482_12,NA,dsrA,TIGR02064.1,5.5e-192,650.6,1.6,6.7e-192,650.3,1.6,1,1,0,0,1,1,1,1,3300025546_75
3300018411.a:Ga0194137_10025061_2,NA,dsrA,TIGR02064.1,7.6e-192,650.1,0,8.6e-192,649.9,0,1,1,0,0,1,1,1,1,3300018411_12
3300020189.a:Ga0181578_10011757_8,NA,dsrA,TIGR02064.1,1.1e-191,649.6,0.5,1.2e-191,649.4,0.5,1,1,0,0,1,1,1,1,3300020189_53
3300029845.a:Ga0245277_1008727_2,NA,dsrA,TIGR02064.1,2.8e-191,648.2,0.1,3.2e-191,648,0.1,1,1,0,0,1,1,1,1,3300029845_19
3300029548.a:Ga0245003_105190_2,NA,dsrA,TIGR02064.1,3e-191,648.1,0.1,3.4e-191,647.9,0.1,1,1,0,0,1,1,1,1,3300029548_16
3300010294.a:Ga0126332_10000436_8,NA,dsrA,TIGR02064.1,3.1e-191,648.1,0,3.6e-191,647.9,0,1,1,0,0,1,1,1,1,3300010294_10
3300010378.a:Ga0126330_10000169_8,NA,dsrA,TIGR02064.1,3.1e-191,648.1,0,3.6e-191,647.9,0,1,1,0,0,1,1,1,1,3300010378_4
3300012273.a:Ga0126329_10000272_9,NA,dsrA,TIGR02064.1,3.1e-191,648.1,0,3.6e-191,647.9,0,1,1,0,0,1,1,1,1,3300012273_8
3300029711.a:Ga0245193_103224_5,NA,dsrA,TIGR02064.1,3.3e-191,648,0.1,3.8e-191,647.8,0.1,1,1,0,0,1,1,1,1,3300029711_16
3300010290.a:Ga0126333_1000160_8,NA,dsrA,TIGR02064.1,4e-191,647.7,0,4.6e-191,647.5,0,1,1,0,0,1,1,1,1,3300010290_6
3300010314.a:Ga0126331_1000396_8,NA,dsrA,TIGR02064.1,4e-191,647.7,0,4.6e-191,647.5,0,1,1,0,0,1,1,1,1,3300010314_8
3300010315.a:Ga0136654_1000323_8,NA,dsrA,TIGR02064.1,4e-191,647.7,0,4.6e-191,647.5,0,1,1,0,0,1,1,1,1,3300010315_8
3300026184.a:Ga0209918_1000144_55,NA,dsrA,TIGR02064.1,4.4e-191,647.6,0.3,5e-191,647.4,0.3,1,1,0,0,1,1,1,1,3300026184_18
3300004626.a:Ga0066188_1000387_4,NA,dsrA,TIGR02064.1,5.5e-191,647.3,0,6.2e-191,647.1,0,1,1,0,0,1,1,1,1,3300004626_3
3300006912.a:Ga0056114_1007360_5,NA,dsrA,TIGR02064.1,5.5e-191,647.3,0,6.2e-191,647.1,0,1,1,0,0,1,1,1,1,3300006912_6
3300014788.a:Ga0134381_1000756_5,NA,dsrA,TIGR02064.1,9.9e-191,646.4,0.1,1.1e-190,646.2,0.1,1,1,0,0,1,1,1,1,3300014788_9
3300025593.a:Ga0210096_1000053_42,NA,dsrA,TIGR02064.1,1.1e-190,646.2,0.1,1.3e-190,646,0.1,1,1,0,0,1,1,1,1,3300025593_5
3300021310.a:Ga0214507_100081_20,NA,dsrA,TIGR02064.1,1.2e-190,646.1,0.1,1.4e-190,645.9,0.1,1,1,0,0,1,1,1,1,3300021310_14
3300021311.a:Ga0214519_100050_20,NA,dsrA,TIGR02064.1,1.2e-190,646.1,0.1,1.4e-190,645.9,0.1,1,1,0,0,1,1,1,1,3300021311_14
3300014713.a:Ga0169447_102445_2,NA,dsrA,TIGR02064.1,1.5e-190,645.8,0.1,1.7e-190,645.6,0.1,1,1,0,0,1,1,1,1,3300014713_11
3300029445.a:Ga0243741_1002899_4,NA,dsrA,TIGR02064.1,1.7e-190,645.7,0.1,1.9e-190,645.5,0.1,1,1,0,0,1,1,1,1,3300029445_31
3300029738.a:Ga0245262_103081_5,NA,dsrA,TIGR02064.1,1.7e-190,645.7,0.1,1.9e-190,645.5,0.1,1,1,0,0,1,1,1,1,3300029738_19
3300029486.a:Ga0244145_102655_4,NA,dsrA,TIGR02064.1,1.7e-190,645.7,0.1,1.9e-190,645.5,0.1,1,1,0,0,1,1,1,1,3300029486_24
3300029696.a:Ga0245263_100148_6,NA,dsrA,TIGR02064.1,1.8e-190,645.6,0.1,2e-190,645.4,0.1,1,1,0,0,1,1,1,1,3300029696_14
3300029240.a:Ga0168677_107168_4,NA,dsrA,TIGR02064.1,1.8e-190,645.5,0.1,2.1e-190,645.4,0.1,1,1,0,0,1,1,1,1,3300029240_16
3300017406.a:Ga0185307_1003164_7,NA,dsrA,TIGR02064.1,1.8e-190,645.5,2,2.2e-190,645.2,2,1,1,0,0,1,1,1,1,3300017406_27
3300010377.a:Ga0126328_10000264_7,NA,dsrA,TIGR02064.1,2.7e-190,645,0,3.1e-190,644.8,0,1,1,0,0,1,1,1,1,3300010377_10
3300017963.a:Ga0180437_10005161_14,NA,dsrA,TIGR02064.1,4.2e-190,644.4,0.1,4.7e-190,644.2,0.1,1,1,0,0,1,1,1,1,3300017963_34
3300014964.a:Ga0134538_1000109_97,NA,dsrA,TIGR02064.1,4.7e-190,644.2,0,5.4e-190,644,0,1,1,0,0,1,1,1,1,3300014964_23
3300015207.a:Ga0134540_1001941_12,NA,dsrA,TIGR02064.1,4.7e-190,644.2,0,5.4e-190,644,0,1,1,0,0,1,1,1,1,3300015207_36
3300029297.a:Ga0134541_1000038_97,NA,dsrA,TIGR02064.1,4.7e-190,644.2,0,5.4e-190,644,0,1,1,0,0,1,1,1,1,3300029297_17
3300029768.a:Ga0245196_103689_1,NA,dsrA,TIGR02064.1,5.2e-190,644,0.1,5.9e-190,643.9,0.1,1,1,0,0,1,1,1,1,3300029768_31
3300029445.a:Ga0243741_1002899_8,NA,dsrA,TIGR02064.1,5.2e-190,644,0.1,5.9e-190,643.9,0.1,1,1,0,0,1,1,1,1,3300029445_31
3300029788.a:Ga0243743_1002584_5,NA,dsrA,TIGR02064.1,5.2e-190,644,0.1,5.9e-190,643.9,0.1,1,1,0,0,1,1,1,1,3300029788_30
3300029573.a:Ga0245101_108916_2,NA,dsrA,TIGR02064.1,6.9e-190,643.6,0.1,7.8e-190,643.5,0.1,1,1,0,0,1,1,1,1,3300029573_32
3300029217.a:Ga0168678_100502_4,NA,dsrA,TIGR02064.1,8.4e-190,643.4,0.1,9.6e-190,643.2,0.1,1,1,0,0,1,1,1,1,3300029217_15
3300029237.a:Ga0167477_103573_5,NA,dsrA,TIGR02064.1,8.7e-190,643.3,0.1,9.9e-190,643.1,0.1,1,1,0,0,1,1,1,1,3300029237_22
3300029795.a:Ga0243742_1006169_4,NA,dsrA,TIGR02064.1,8.7e-190,643.3,0.1,9.9e-190,643.1,0.1,1,1,0,0,1,1,1,1,3300029795_22
3300028580.a:Ga0268357_100009_263,NA,dsrA,TIGR02064.1,9.3e-190,643.2,0.2,1.1e-189,643,0.2,1,1,0,0,1,1,1,1,3300028580_17
3300028582.a:Ga0268360_1001186_4,NA,dsrA,TIGR02064.1,9.3e-190,643.2,0.2,1.1e-189,643,0.2,1,1,0,0,1,1,1,1,3300028582_23
3300014529.a:Ga0169876_101653_4,NA,dsrA,TIGR02064.1,1.1e-189,642.9,0,1.3e-189,642.7,0,1,1,0,0,1,1,1,1,3300014529_8
3300025599.a:Ga0210074_1000012_29,NA,dsrA,TIGR02064.1,1.5e-189,642.5,0.1,1.9e-189,642.2,0.1,1,1,0,0,1,1,1,1,3300025599_9
3300025793.a:Ga0210065_1000003_72,NA,dsrA,TIGR02064.1,1.5e-189,642.5,0.1,1.9e-189,642.2,0.1,1,1,0,0,1,1,1,1,3300025793_3
3300009779.a:Ga0116152_10000272_9,NA,dsrA,TIGR02064.1,3.8e-189,641.2,0.5,4.3e-189,641,0.5,1,1,0,0,1,1,1,1,3300009779_12
3300029523.a:Ga0244821_101409_16,NA,dsrA,TIGR02064.1,4e-189,641.1,0.1,4.6e-189,640.9,0.1,1,1,0,0,1,1,1,1,3300029523_12
3300027719.a:Ga0209467_1004881_4,NA,dsrA,TIGR02064.1,4.7e-189,640.9,0.1,5.8e-189,640.6,0.1,1,1,0,0,1,1,1,1,3300027719_16
3300029295.a:Ga0134373_100411_33,NA,dsrA,TIGR02064.1,5.9e-189,640.6,0.2,6.7e-189,640.4,0.2,1,1,0,0,1,1,1,1,3300029295_4
3300029641.a:Ga0245180_100975_2,NA,dsrA,TIGR02064.1,7.3e-189,640.3,0.2,8.3e-189,640.1,0.2,1,1,0,0,1,1,1,1,3300029641_5
3300005275.a:Ga0065719_106835_9,NA,dsrA,TIGR02064.1,1.2e-188,639.6,1.1,1.4e-188,639.3,1.1,1,1,0,0,1,1,1,1,3300005275_8
3300025266.a:Ga0208032_1000027_62,NA,dsrA,TIGR02064.1,2.5e-188,638.5,0.7,3e-188,638.2,0.7,1,1,0,0,1,1,1,1,3300025266_13
3300025551.a:Ga0210131_1000033_31,NA,dsrA,TIGR02064.1,4.5e-188,637.7,0.2,5.5e-188,637.4,0.2,1,1,0,0,1,1,1,1,3300025551_1
3300025569.a:Ga0210073_1000352_7,NA,dsrA,TIGR02064.1,4.5e-188,637.7,0.2,5.5e-188,637.4,0.2,1,1,0,0,1,1,1,1,3300025569_3
3300025593.a:Ga0210096_1000109_26,NA,dsrA,TIGR02064.1,8.4e-188,636.8,0.2,9.9e-188,636.5,0.2,1,1,0,0,1,1,1,1,3300025593_7
3300028581.a:Ga0247840_10011928_7,NA,dsrA,TIGR02064.1,1.3e-187,636.2,0,1.4e-187,636,0,1,1,0,0,1,1,1,1,3300028581_23
3300027858.a:Ga0209013_10000079_45,NA,dsrA,TIGR02064.1,1.3e-187,636.2,0.4,1.5e-187,635.9,0.4,1,1,0,0,1,1,1,1,3300027858_40
3300026975.a:Ga0207799_100004_71,NA,dsrA,TIGR02064.1,1.4e-187,636,0.1,1.6e-187,635.8,0.1,1,1,0,0,1,1,1,1,3300026975_2
3300014914.a:Ga0164311_10007740_4,NA,dsrA,TIGR02064.1,2.1e-187,635.5,0.6,2.6e-187,635.2,0.6,1,1,0,0,1,1,1,1,3300014914_37
3300005838.a:Ga0008649_10017286_4,NA,dsrA,TIGR02064.1,2.2e-187,635.4,0.3,2.5e-187,635.2,0.3,1,1,0,0,1,1,1,1,3300005838_16
3300025688.a:Ga0209140_1008733_5,NA,dsrA,TIGR02064.1,2.2e-187,635.4,0.3,2.5e-187,635.2,0.3,1,1,0,0,1,1,1,1,3300025688_21
3300006428.a:Ga0100050_10190_4,NA,dsrA,TIGR02064.1,2.4e-187,635.3,0,3e-187,635,0,1,1,0,0,1,1,1,1,3300006428_2
3300026518.a:Ga0256829_1000044_27,NA,dsrA,TIGR02064.1,2.6e-187,635.1,0.2,3e-187,635,0.2,1,1,0,0,1,1,1,1,3300026518_11
3300026208.a:Ga0208640_1001142_11,NA,dsrA,TIGR02064.1,3e-187,635,0.3,3.5e-187,634.7,0.3,1,1,0,0,1,1,1,1,3300026208_3
3300027607.a:Ga0207422_1007465_10,NA,dsrA,TIGR02064.1,3.9e-187,634.6,0.7,4.6e-187,634.3,0.7,1,1,0,0,1,1,1,1,3300027607_54
3300018415.a:Ga0181559_10001319_4,NA,dsrA,TIGR02064.1,5.8e-187,634,0.8,6.8e-187,633.8,0.8,1,1,0,0,1,1,1,1,3300018415_45
3300025593.a:Ga0210096_1004987_4,NA,dsrA,TIGR02064.1,6.1e-187,633.9,0.2,7.4e-187,633.7,0.2,1,1,0,0,1,1,1,1,3300025593_5
3300022177.a:Ga0228536_1000324_14,NA,dsrA,TIGR02064.1,6.6e-187,633.8,0.1,8.2e-187,633.5,0.1,1,1,0,0,1,1,1,1,3300022177_25
3300022181.a:Ga0228535_1000529_85,NA,dsrA,TIGR02064.1,6.6e-187,633.8,0.1,8.2e-187,633.5,0.1,1,1,0,0,1,1,1,1,3300022181_17
3300027719.a:Ga0209467_1000156_5,NA,dsrA,TIGR02064.1,6.9e-187,633.8,0.1,8.5e-187,633.5,0.1,1,1,0,0,1,1,1,1,3300027719_14
3300002821.a:Iso3TCLC_10001183_4,NA,dsrA,TIGR02064.1,7.4e-187,633.7,0.2,8.4e-187,633.5,0.2,1,1,0,0,1,1,1,1,3300002821_31
3300013290.a:Ga0172517_101120_4,NA,dsrA,TIGR02064.1,7.4e-187,633.7,0.2,8.4e-187,633.5,0.2,1,1,0,0,1,1,1,1,3300013290_4
3300027536.a:Ga0209163_1000605_5,NA,dsrA,TIGR02064.1,7.4e-187,633.7,0.2,8.4e-187,633.5,0.2,1,1,0,0,1,1,1,1,3300027536_33
3300027592.a:Ga0209270_1000012_460,NA,dsrA,TIGR02064.1,7.4e-187,633.7,0.2,8.4e-187,633.5,0.2,1,1,0,0,1,1,1,1,3300027592_37
3300015214.a:Ga0172382_10022974_6,NA,dsrA,TIGR02064.1,8.3e-187,633.5,0,9.4e-187,633.3,0,1,1,0,0,1,1,1,1,3300015214_35
3300027690.a:Ga0209164_1000157_99,NA,dsrA,TIGR02064.1,9.5e-187,633.3,0.1,1.1e-186,633.1,0.1,1,1,0,0,1,1,1,1,3300027690_36
3300006045.a:Ga0082212_10000044_55,NA,dsrA,TIGR02064.1,1.1e-186,633.1,0.1,1.3e-186,632.8,0.1,1,1,0,0,1,1,1,1,3300006045_59
3300022888.a:Ga0233428_1006006_8,NA,dsrA,TIGR02064.1,1.7e-186,632.5,0.3,1.9e-186,632.3,0.3,1,1,0,0,1,1,1,1,3300022888_19
3300025592.a:Ga0209658_1002416_7,NA,dsrA,TIGR02064.1,1.7e-186,632.5,0.3,1.9e-186,632.3,0.3,1,1,0,0,1,1,1,1,3300025592_25
3300025707.a:Ga0209667_1001099_21,NA,dsrA,TIGR02064.1,1.7e-186,632.5,0.3,1.9e-186,632.3,0.3,1,1,0,0,1,1,1,1,3300025707_15
3300025709.a:Ga0209044_1000706_26,NA,dsrA,TIGR02064.1,1.7e-186,632.5,0.3,1.9e-186,632.3,0.3,1,1,0,0,1,1,1,1,3300025709_15
3300028175.a:Ga0257117_1000954_8,NA,dsrA,TIGR02064.1,1.7e-186,632.5,0.3,1.9e-186,632.3,0.3,1,1,0,0,1,1,1,1,3300028175_16
3300028188.a:Ga0257124_1002199_9,NA,dsrA,TIGR02064.1,1.7e-186,632.5,0.3,1.9e-186,632.3,0.3,1,1,0,0,1,1,1,1,3300028188_13
3300028198.a:Ga0257121_1000553_9,NA,dsrA,TIGR02064.1,1.7e-186,632.5,0.3,1.9e-186,632.3,0.3,1,1,0,0,1,1,1,1,3300028198_10
3300020344.a:Ga0211570_1000768_8,NA,dsrA,TIGR02064.1,1.9e-186,632.3,0.3,2.3e-186,632.1,0.3,1,1,0,0,1,1,1,1,3300020344_6
3300005460.a:Ga0073908_1002994_12,NA,dsrA,TIGR02064.1,2.1e-186,632.1,0.1,2.4e-186,632,0.1,1,1,0,0,1,1,1,1,3300005460_43
3300020478.a:Ga0211503_10006544_4,NA,dsrA,TIGR02064.1,2.3e-186,632.1,0.3,2.6e-186,631.9,0.3,1,1,0,0,1,1,1,1,3300020478_45
3300000032.a:Draft_c0002726_7,NA,dsrA,TIGR02064.1,2.8e-186,631.7,0.3,3.2e-186,631.5,0.3,1,1,0,0,1,1,1,1,3300000032_7
3300000568.a:Draft_10172021_1,NA,dsrA,TIGR02064.1,2.8e-186,631.7,0.3,3.2e-186,631.5,0.3,1,1,0,0,1,1,1,1,3300000568_11
3300026968.a:Ga0207831_100015_292,NA,dsrA,TIGR02064.1,2.9e-186,631.7,0.1,3.3e-186,631.5,0.1,1,1,0,0,1,1,1,1,3300026968_1
3300000225.a:SI34jun09_120mDRAFT_1002787_5,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300000225_8
3300000226.a:SI34jun09_135mDRAFT_1004043_4,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300000226_17
3300024327.a:Ga0233434_1001115_7,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300024327_23
3300025422.a:Ga0209250_1001682_6,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300025422_13
3300025584.a:Ga0209774_1003903_4,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300025584_17
3300025662.a:Ga0209664_1002539_7,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300025662_22
3300025663.a:Ga0209775_1000620_7,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300025663_12
3300025667.a:Ga0209043_1000037_50,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300025667_7
3300025672.a:Ga0209663_1000348_31,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300025672_10
3300025676.a:Ga0209657_1000644_25,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300025676_17
3300025681.a:Ga0209263_1000608_7,NA,dsrA,TIGR02064.1,3e-186,631.7,0.4,3.4e-186,631.5,0.4,1,1,0,0,1,1,1,1,3300025681_19
